id,question,source_doc,expected_answer,actual_answer,tool_used,similarity,passed,latency_ms
1,When should you define a path operation function with async def in FastAPI?,async.md,You should use async def when using third-party libraries that require you to call them with await.,Define a path operation function with `async def` if it uses code that performs blocking I/O.,search_documents,0.565,False,18344.0
2,What environment variable does the fastapi dev command set before importing your app?,fastapi-cli.md,It sets the FASTAPI_ENV environment variable to development.,The `fastapi dev` command sets the `FASTAPI_ENV` environment variable to `development` before importing your app.,search_documents,0.7381,True,18016.0
3,In what order are multiple middlewares executed on the response path in FastAPI?,tutorial__middleware.md,"On the response path, the middlewares are executed from the innermost (first added) to the outermost (last added) after the route is processed.","On the response path, the order of execution of multiple middlewares is from innermost to outermost.",search_documents,0.8123,True,18046.0
4,How should you declare your path operation function if you are using a library that does not support await?,async.md,You should declare it normally with just 'def' instead of 'async def'.,You should declare your path operation function with just `def` if the library you are using does not support await.,search_documents,0.6206,True,18250.0
5,What does asynchronous code basically mean for Python?,async.md,It means the program can pause and wait for a slow I/O operation to finish while doing other productive work in the meantime.,"Asynchronous code in Python allows for writing functions that can pause their execution and resume it later, enabling efficient handling of multiple tasks concurrently. This is achieved using the `async` keyword and the `await` keyword within `async` functions.",search_documents,0.4549,False,18500.0
6,Are machine learning and image processing considered I/O bound operations?,async.md,"No, they require complex math processing and are considered CPU bound operations.","No, machine learning and image processing are not considered I/O bound operations; they are CPU bound operations.",search_documents,0.635,True,18094.0
7,What library does FastAPI use internally to maintain compatibility with both asyncio and Trio?,async.md,FastAPI (through Starlette) uses AnyIO.,FastAPI uses AnyIO internally to maintain compatibility with both asyncio and Trio.,search_documents,0.7876,True,18438.0
8,Why does Uvicorn show better performance than FastAPI in raw benchmarks?,benchmarks.md,"Uvicorn is an ASGI server without the extra application code, routing, and data validation overhead that FastAPI provides.","Uvicorn shows better performance than FastAPI in raw benchmarks because the TechEmpower benchmarks show FastAPI applications running under Uvicorn as one of the fastest Python frameworks available, only behind Starlette and Uvicorn themselves.",search_documents,0.7724,True,18594.0
9,"If you build an API directly with Starlette instead of FastAPI, what features must you implement manually?",benchmarks.md,"You would have to manually implement data validation, serialization, and automatic documentation.","When building an API directly with Starlette instead of FastAPI, you must implement features like automatic API documentation, code generation, and request/response validation manually.",search_documents,0.3492,False,18484.0
10,What is the default IP address that the 'fastapi dev' command listens on?,fastapi-cli.md,It listens on the IP address 127.0.0.1 (localhost).,The default IP address that the 'fastapi dev' command listens on is 127.0.0.1. This is the IP address for your machine to communicate with itself alone (localhost).,search_documents,0.6021,True,18281.0
11,Is auto-reload enabled by default when you use the 'fastapi run' command?,fastapi-cli.md,"No, auto-reload is disabled by default in production mode.","No, auto-reload is not enabled by default when you use the 'fastapi run' command.",search_documents,0.709,True,17922.0
12,How can you explicitly configure your app entrypoint for the FastAPI CLI in pyproject.toml?,fastapi-cli.md,You can set the 'entrypoint' value under the '[tool.fastapi]' section in the pyproject.toml file.,"To explicitly configure your app entrypoint for the FastAPI CLI in pyproject.toml, add the following line to your pyproject.toml file:

```toml
[tool.fastapi]
entrypoint = ""main:app""
```

Replace ""main"" with the path to your app file if it's different.",search_documents,0.8576,True,18797.0
13,Which ORM does the official Full Stack FastAPI Template use for SQL database interactions?,project-generation.md,It uses SQLModel for Python SQL database interactions.,"The official Full Stack FastAPI Template uses SQLAlchemy, but later versions recommend the use of Tortoise ORM for SQL database interactions.",search_documents,0.5844,False,17515.0
14,What frontend framework is utilized in the Full Stack FastAPI Template?,project-generation.md,"It uses React along with TypeScript, Vite, and Tailwind CSS.",The frontend framework utilized in the Full Stack FastAPI Template is Vite.,search_documents,0.4988,False,17969.0
15,How are translation pull requests currently generated in the FastAPI repository?,translations.md,They are generated by LLMs guided by specific prompts and native speakers.,Translation pull requests are generated by LLMs guided with prompts designed by the FastAPI team together with the community of native speakers for each supported language.,search_documents,0.5536,False,19469.0
16,How many volunteers are required at minimum to request a new language translation?,translations.md,At least 3 people are needed who are willing to commit to helping maintain that language.,At least 3 volunteers are required to request a new language translation.,search_documents,0.6837,True,18687.0
17,How do you specify the API version that appears in the OpenAPI specification?,tutorial__metadata.md,You can set it using the 'version' string parameter when initializing the FastAPI application.,"You specify the API version in the OpenAPI specification by setting the `version` field to a string, for example ""2.5.0"".",search_documents,0.6074,True,18937.0
